Woche,iPhone,Samsung,Google Pixel,Xiaomi,Mobiltelefon
08/03/2020,37,26,1,2,22
15/03/2020,35,23,1,1,24
22/03/2020,41,31,1,2,28
29/03/2020,43,29,1,2,26
05/04/2020,42,29,1,3,24
12/04/2020,56,28,1,3,26
19/04/2020,53,31,1,2,26
26/04/2020,50,31,1,3,27
03/05/2020,47,31,1,2,25
10/05/2020,51,35,1,3,27
17/05/2020,45,31,1,3,26
24/05/2020,47,32,1,3,26
31/05/2020,45,33,1,3,27
07/06/2020,47,31,1,3,25
14/06/2020,45,30,1,3,26
21/06/2020,47,28,1,2,26
28/06/2020,48,30,1,2,26
05/07/2020,46,28,1,2,27
12/07/2020,48,30,1,3,26
19/07/2020,47,27,1,3,25
26/07/2020,46,28,1,3,26
02/08/2020,50,33,3,3,28
09/08/2020,48,27,1,3,26
16/08/2020,48,28,1,3,27
23/08/2020,46,29,1,3,27
30/08/2020,46,31,1,3,26
06/09/2020,45,27,1,3,25
13/09/2020,53,27,1,3,25
20/09/2020,54,28,1,3,25
27/09/2020,46,29,2,3,25
04/10/2020,48,28,2,3,24
11/10/2020,95,29,2,3,25
18/10/2020,67,29,2,3,25
25/10/2020,58,30,2,3,24
01/11/2020,58,27,1,3,22
08/11/2020,63,32,2,3,26
15/11/2020,62,32,1,4,24
22/11/2020,71,53,2,5,24
29/11/2020,57,37,1,4,21
06/12/2020,53,34,1,3,19
13/12/2020,51,31,1,3,20
20/12/2020,59,38,1,4,21
27/12/2020,58,38,1,4,22
03/01/2021,50,31,1,3,21
10/01/2021,49,36,1,3,20
17/01/2021,48,34,1,3,20
24/01/2021,47,34,1,3,21
31/01/2021,47,31,1,3,21
07/02/2021,44,30,1,3,20
14/02/2021,42,27,1,3,21
21/02/2021,41,27,1,3,20
28/02/2021,41,30,1,3,18
07/03/2021,39,28,1,3,19
14/03/2021,39,30,1,3,20
21/03/2021,39,35,1,4,21
28/03/2021,38,26,1,4,19
04/04/2021,42,28,1,4,22
11/04/2021,39,27,1,4,21
18/04/2021,39,24,1,3,19
25/04/2021,39,25,1,4,20
02/05/2021,39,25,1,4,20
09/05/2021,39,26,1,4,19
16/05/2021,39,24,1,3,19
23/05/2021,40,24,1,4,18
30/05/2021,38,26,1,4,20
06/06/2021,37,24,1,3,19
13/06/2021,34,23,1,3,19
20/06/2021,39,23,1,3,20
27/06/2021,38,23,1,3,19
04/07/2021,41,24,1,3,20
11/07/2021,42,28,1,4,22
18/07/2021,43,24,1,4,21
25/07/2021,44,26,1,4,22
01/08/2021,46,28,2,5,21
08/08/2021,43,29,1,5,22
15/08/2021,43,28,2,4,20
22/08/2021,44,29,2,4,22
29/08/2021,44,26,1,4,20
05/09/2021,47,23,1,4,22
12/09/2021,78,26,1,4,22
19/09/2021,66,26,1,4,21
26/09/2021,61,25,2,4,23
03/10/2021,55,26,1,4,21
10/10/2021,51,25,1,3,21
17/10/2021,49,23,4,4,23
24/10/2021,47,24,3,4,21
31/10/2021,48,23,2,3,21
07/11/2021,48,26,2,4,22
14/11/2021,46,23,2,4,22
21/11/2021,55,40,2,6,22
28/11/2021,51,28,1,4,23
05/12/2021,49,26,2,4,21
12/12/2021,49,25,1,3,21
19/12/2021,54,26,1,4,22
26/12/2021,58,31,2,4,25
02/01/2022,54,30,2,4,24
09/01/2022,49,29,1,4,21
16/01/2022,42,26,1,4,22
23/01/2022,44,27,1,4,22
30/01/2022,43,27,1,4,21
06/02/2022,46,32,1,4,21
13/02/2022,43,32,1,5,22
20/02/2022,40,33,2,5,21
27/02/2022,41,29,1,4,22
06/03/2022,43,26,2,5,21
13/03/2022,41,28,1,5,21
20/03/2022,41,27,1,5,20
27/03/2022,41,27,1,5,22
03/04/2022,40,29,2,5,21
10/04/2022,41,25,2,4,20
17/04/2022,44,28,1,4,20
24/04/2022,41,29,2,5,22
01/05/2022,40,28,1,5,21
08/05/2022,39,23,2,4,17
15/05/2022,41,21,2,4,16
22/05/2022,41,25,2,4,18
29/05/2022,40,23,2,4,17
05/06/2022,43,24,1,4,22
12/06/2022,41,23,2,4,21
19/06/2022,44,22,2,4,23
26/06/2022,45,24,2,4,24
03/07/2022,44,24,2,5,23
10/07/2022,48,26,2,5,25
17/07/2022,47,26,2,5,25
24/07/2022,49,28,2,5,26
31/07/2022,52,27,2,5,26
07/08/2022,48,30,2,5,25
14/08/2022,47,30,2,4,27
21/08/2022,47,29,2,5,26
28/08/2022,46,29,2,4,24
04/09/2022,70,27,2,4,25
11/09/2022,65,29,2,4,25
18/09/2022,66,25,2,4,24
25/09/2022,57,28,2,3,23
02/10/2022,55,26,5,4,23
09/10/2022,52,27,4,4,23
16/10/2022,50,27,4,4,23
23/10/2022,51,30,3,4,23
30/10/2022,49,27,3,4,22
06/11/2022,48,29,3,4,24
13/11/2022,48,30,3,4,22
20/11/2022,60,48,4,6,28
27/11/2022,51,33,3,4,24
04/12/2022,48,28,2,4,25
11/12/2022,48,28,2,4,22
18/12/2022,50,30,3,4,23
25/12/2022,62,38,3,4,26
01/01/2023,51,32,3,4,23
